

Trajectories
100
,,PETT:table1,,,PETT:table2,,,PETT:balle1,,,PETT:dos1,,,PETT:dos2,,,PETT:torse2,,,PETT:cou2,,,PETT:epaule G2,,,PETT:bras G2,,,PETT:coude G2,,,PETT:epaule D2,,,PETT:bras D2,,,PETT:coude D2,,,PETT:av bras D2,,,PETT:av bras D3,,,PETT:main D3,,,PETT:raquette2,,,PETT:raquette3,,,PETT:raquette4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
21,0,-1346.84,891.191,-7.33094,-1380.45,-609.956,5.83064,1503.55,193.424,433.074,-1784.03,165.682,232.103,,,,-1768.91,189.694,677.728,,,,-1860.57,363.119,721.791,-1966.31,484.903,440.434,-1907.76,489.619,382.321,-1901.38,20.9232,732.286,-1970.49,-111.679,412.127,-1896.11,-104.747,369.004,-1689.69,-69.3061,368.891,-1696.57,-34.1042,450.256,-1636.07,-68.0918,415.37,-1500.2,14.9031,443.983,-1515.44,10.5343,575.178,,,
22,0,-1346.86,891.167,-7.33125,-1380.45,-609.952,5.81678,1498.15,194.456,433.464,-1783.1,165.43,231.768,,,,-1768.42,189.612,677.515,,,,-1860.86,362.64,721.433,-1967.2,483.953,440.135,-1908.79,489.015,382.072,-1900.6,20.286,731.894,-1968.62,-112.578,411.515,-1894.26,-104.97,368.556,-1687.96,-68.8871,368.855,-1695.35,-33.4481,450.141,-1634.56,-67.2395,415.615,-1494.72,15.6667,445.763,-1514.61,13.118,575.519,,,
23,0,-1346.84,891.183,-7.3455,-1380.43,-609.957,5.82739,1493.43,195.619,433.844,-1782.19,165.339,231.491,,,,-1768.08,189.623,677.147,,,,-1861.14,362.316,720.977,-1968.42,483.02,439.821,-1908.34,488.565,381.661,-1899.69,19.8296,731.219,-1967.12,-113.236,410.881,-1892.52,-105.306,367.979,-1686.54,-68.5897,368.983,-1694.03,-32.8202,449.89,-1632.97,-66.3193,415.695,-1495.17,18.9902,445.39,-1513.83,15.7262,575.696,,,
24,0,-1346.86,891.182,-7.33116,-1380.48,-609.94,5.83779,1489.47,196.92,434.204,-1781.01,165.377,231.26,,,,-1767.61,189.65,676.769,,,,-1863.94,362.171,721.437,-1969.23,482.319,439.327,-1907.48,486.755,381.345,-1898.75,19.5125,730.458,-1965.57,-113.753,410.125,-1891.11,-105.578,367.476,-1685.11,-68.0552,368.875,-1692.86,-32.2883,449.622,-1631.25,-65.244,415.53,-1493.84,21.5646,445.576,-1513.36,18.7837,575.72,,,
25,0,-1346.89,891.167,-7.32002,-1380.44,-609.951,5.8363,1486.31,198.364,434.534,-1779.85,165.625,230.862,,,,-1767.41,189.849,676.228,,,,-1861.28,362.323,719.68,-1970.55,481.472,438.921,-1907.23,486.06,380.974,-1902.22,20.345,731.223,-1964.09,-114.102,409.201,-1889.57,-105.93,366.733,-1683.83,-67.4985,368.806,-1691.91,-31.7359,449.393,-1629.93,-64.2276,415.358,-1494.36,25.2227,444.948,-1512.67,21.8469,575.502,,,
26,0,-1346.86,891.175,-7.305,-1380.49,-609.95,5.84257,1484,199.951,434.825,-1778.73,166.021,230.382,,,,-1767.4,190.298,675.334,,,,-1860.84,362.919,718.569,-1971.01,481.375,437.87,-1906.96,485.57,380.478,-1901.27,20.4243,730.088,-1962.6,-114.327,408.237,-1888.22,-105.858,366.002,-1682.45,-66.8385,368.544,-1691.04,-30.856,449.065,-1628.86,-63.2921,415.249,-1493.21,27.6361,444.682,-1511.5,25.3675,575.109,,,
27,0,-1346.82,891.17,-7.35401,-1380.45,-609.963,5.83549,1482.57,201.68,435.071,-1777.5,166.427,229.611,,,,-1766.88,190.788,674.211,,,,-1861.31,363.436,717.868,-1971.72,481.329,436.794,-1906.7,485.294,379.862,-1900.78,20.8442,729.051,-1961.4,-114.354,407.3,-1886.86,-105.702,365.105,-1681.15,-66.1808,368.125,-1690.07,-29.5902,448.479,-1627.58,-61.4831,415.026,-1493.58,30.712,443.989,-1511.76,28.4586,574.358,,,
28,0,-1346.82,891.17,-7.33636,-1380.44,-609.951,5.82164,1482.03,203.544,435.264,-1776.79,166.559,228.625,,,,-1766.58,191.346,673.248,,,,-1864.3,363.848,717.828,-1972.05,481.505,435.526,-1906.45,485.236,379.132,-1900.7,21.4671,728.06,-1960.2,-114.281,406.302,-1885.54,-105.495,364.127,-1680.15,-65.5097,367.668,-1689.14,-27.8869,447.583,-1626.51,-60.3149,414.831,-1492.12,32.2716,443.581,-1511.02,31.5513,573.738,,,
29,0,-1346.86,891.185,-7.33042,-1380.45,-609.965,5.84195,1482.37,205.538,435.4,-1776.67,167.464,227.137,,,,-1766.61,192.599,672.099,,,,-1864.78,364.73,716.776,-1972.26,482.192,434.045,-1906.22,485.401,378.298,-1900.21,22.4092,726.669,-1958.88,-114.077,405.169,-1884.44,-105.192,363.082,-1679.26,-64.5842,367.149,-1688.41,-26.2834,446.708,-1625.71,-59.0336,414.541,-1491.53,34.5328,443.023,-1511.27,34.6406,573.064,,,
30,0,-1346.85,891.177,-7.33169,-1380.47,-609.952,5.84269,1483.58,207.652,435.472,-1775.66,168.372,226.197,,,,-1770.52,195.546,670.189,,,,-1864.9,365.811,715.359,-1972.44,482.74,432.532,-1906.03,485.793,377.37,-1895.67,22.7752,723.679,-1957.57,-113.602,403.827,-1883.24,-104.495,361.993,-1678.1,-63.15,366.376,-1687.76,-24.5827,445.919,-1625.34,-57.8392,414.359,-1491.61,36.808,442.362,-1511.51,37.5689,572.447,,,
